issue_description,category
I've been overcharged for the past three months.,billing
How do I apply a gift card to my account balance?,billing
There's a billing error on my account I need corrected.,billing
"I made a payment, but my account still shows a balance due.",billing
My account was put on hold because of a billing issue.,billing
I was mischarged for an annual plan instead of a monthly plan.,billing
I set up a direct debit but was still charged on my credit card.,billing
"I just updated my address, but my bill went to the old place.",billing
"The trial period ended early, and I was billed right away.",billing
I've been billed for a different product than what I ordered.,billing
The tax calculation on my bill seems incorrect.,billing
Can you provide a detailed invoice for this quarter?,billing
I want to set up installment payments for my bill.,billing
"I was promised a refund, but it hasn't been processed yet.",billing
How do I change the name on my billing account?,billing
Can you waive the late fee on this month’s bill?,billing
"I received a bill, but I already cancelled my service.",billing
There's a missing payment on my account history.,billing
My credit limit was exceeded without authorization.,billing
How do I print my payment history for tax purposes?,billing
Why was my billing method declined this time?,billing
Are there any penalties for early payment?,billing
I need clarification on my bill's service period.,billing
Charged twice for the same service in a single month.,billing
Received an invoice for a service that was cancelled last month.,billing
Payment was deducted from the wrong account.,billing
Billing statement contains unexpected late fees.,billing
Subscription price increased without prior notification.,billing
"Account shows an outstanding balance, but payments were made.",billing
Request for a detailed breakdown of recent charges.,billing
Unable to download the latest billing statement.,billing
Refund not processed as promised for a disputed transaction.,billing
Billing cycle date changed without consent.,billing
